slug,title,film_sim,pc1,pc2
my-fujifilm-x-t30-classic-slide-film-simulation-recipe,Classic Slide,Classic Chrome,1.2122641197491981,0.38354705793591776
not-my-fujifilm-x-urban-vintage-chrome-film-simulation-recipe,Urban Vintage Chrome,Classic Chrome,0.7450275302182893,-0.21873619616241072
my-fujifilm-x-t30-fujicolor-100-industrial-film-simulation-recipe,Fujicolor 100 Industrial,PRO Neg,0.7744190731154007,-2.722694361175025
my-fujifilm-x-t30-lomography-color-100-film-simulation-setting,Lomography Color 100,Velvia,1.0772017559624754,2.0125054962030235
my-fujifilm-x-t30-velvia-film-simulation-recipe,Velvia,Velvia,1.5600610982926535,-0.5891898606998837
fujifilm-x-t30-x-trans-iv-film-simulation-recipe-velvia-v2,Velvia v2,Velvia,0.9783474926658001,-0.49973057285416483
my-fujifilm-x-t30-redscale-film-simulation-recipe,Redscale,Astia,-0.48164314600854974,-1.6475289827122939
my-fujifilm-x-t30-cross-process-film-simulation-recipe,Cross Process,Classic Chrome,1.628825670920041,0.9609082282376382
xpro-fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe,XPro,Classic Chrome,0.055555473237318624,-1.917898770243229
my-fujifilm-x-t30-acros-film-simulation-recipe-agfa-apx-400,Agfa APX 400,Acros,1.3659401435650034,-1.1030163728226776
my-fujifilm-x-t30-monochrome-kodachrome-film-simulation-recipe,Monochrome Kodachrome,Acros,1.945328970065149,1.5870102258342398
my-fujifilm-x-t30-ilford-hp5-plus-400-push-process-film-simulation-recipe,Ilford HP5 Push Process,Acros,-0.25070477170748434,0.40474935827112174
not-my-fujifilm-x-t30-ilford-delta-push-process-film-simulation-recipe,Ilford Delta Push Process,Monochrome,-0.8657076389935935,-0.13790810508982648
my-fujifilm-x-t30-dramatic-monochrome-film-simulation-recipe,Dramatic Monochrome,Monochrome,2.0755129701745205,0.4276238265804634
my-fujifilm-x-t30-faded-monochrome-film-simulation-recipe,Faded Monochrome,Acros,2.088753621979023,0.6175536101298479
my-fujifilm-x-t30-split-toned-bw-film-simulation-recipe,Split-Toned B&W,Acros,2.199687612248167,0.5177608527095668
my-fujifilm-x-t30-cyanotype-film-simulation-recipe,Cyanotype,Acros,-0.9134112196729077,0.5081657152079795
fujifilm-x100v-film-simulation-recipe-verano-tostado,Verano Tostado,Classic Chrome,0.9406609890222944,-0.53597782314682
